iter	MultiClass
0	1.561540088
1	1.34673364
2	1.187216895
3	1.054606695
4	0.9522964534
5	0.8778839527
6	0.8055105914
7	0.7354327816
8	0.6840767954
9	0.6391200618
10	0.5981534019
11	0.5510350327
12	0.5169114079
13	0.4813167355
14	0.4501182063
15	0.4247333652
16	0.3971666121
17	0.3726942137
18	0.3541042078
19	0.3329155451
20	0.3131297694
21	0.2963050664
22	0.2827866932
23	0.2700543461
24	0.259287961
25	0.2464952073
26	0.2389114334
27	0.2300863107
28	0.2215271798
29	0.2139673476
30	0.2072242287
31	0.1975742419
32	0.1909500285
33	0.1837918818
34	0.1788118343
35	0.1728117
36	0.1663277398
37	0.1628939718
38	0.1571327595
39	0.1511273347
40	0.146568694
41	0.1431678657
42	0.1381103933
43	0.1336734461
44	0.1295745279
45	0.1263657692
46	0.1224031985
47	0.1188836872
48	0.1160709653
49	0.1145806741
50	0.1127377422
51	0.1103666179
52	0.1073200095
53	0.1057216781
54	0.1027587001
55	0.09972080123
56	0.09769389036
57	0.09600518258
58	0.09375933612
59	0.09206017274
60	0.09054471779
61	0.08928529431
62	0.08800470428
63	0.0866509657
64	0.08488355278
65	0.08371212485
66	0.08157529432
67	0.08020239053
68	0.0792609011
69	0.07768974412
70	0.07678024698
71	0.07607234043
72	0.07482562623
73	0.0738344281
74	0.07258861944
75	0.07212491508
76	0.0708838616
77	0.07040419975
78	0.06962979162
79	0.06876616637
80	0.06832447372
81	0.06720613342
82	0.06625202916
83	0.06562590171
84	0.06482804528
85	0.06404859699
86	0.06361895131
87	0.06256121219
88	0.06164753834
89	0.06128839453
90	0.06072714623
91	0.06043207311
92	0.05949296218
93	0.05910849472
94	0.05866236548
95	0.05768680438
96	0.05694689332
97	0.05628175102
98	0.0557537905
99	0.05513890107
100	0.05460467194
101	0.05414507387
102	0.05379928782
103	0.05290932457
104	0.0523472589
105	0.05163221115
106	0.05125185042
107	0.05044749851
108	0.050026586
109	0.04975118944
110	0.04925868034
111	0.04888660661
112	0.04864845386
113	0.0483030717
114	0.04754240441
115	0.04720154866
116	0.04695121922
117	0.04652634124
118	0.04627596072
119	0.04562427815
120	0.04539526377
121	0.04489134337
122	0.04467283367
123	0.04411613318
124	0.04384012964
125	0.04349201026
126	0.0430154223
127	0.04258669639
128	0.04227289656
129	0.04217077495
130	0.04176616399
131	0.04157313273
132	0.04094168918
133	0.04074979582
134	0.04033083545
135	0.03966609463
136	0.03948004869
137	0.03922748835
138	0.03878741847
139	0.0383463553
140	0.03816994942
141	0.0377285133
142	0.03713455591
143	0.03698493151
144	0.03658957972
145	0.03636437027
146	0.03601588541
147	0.03580088946
148	0.03554775116
149	0.03546403001
150	0.03514245348
151	0.03494945016
152	0.03457569634
153	0.03441730568
154	0.03423655114
155	0.0340424544
156	0.03386050927
157	0.0335261347
158	0.03330254036
159	0.03319613348
160	0.03298040065
161	0.03291374963
162	0.03269567428
163	0.03242833412
164	0.03212161043
165	0.03181032536
166	0.03167721055
167	0.03141090993
168	0.03119849963
169	0.03108691142
170	0.03090078013
171	0.03074427664
172	0.03063575738
173	0.03042221666
174	0.03021726195
175	0.03013490765
176	0.0300669621
177	0.02997010761
178	0.0298202516
179	0.02979355072
180	0.0297134738
181	0.02959511807
182	0.02941259116
183	0.02909208274
184	0.02890313898
185	0.02882027468
186	0.0287102854
187	0.02858151721
