iter	Passed	Remaining
400	28062	41918
401	28124	41836
402	28194	41767
403	28271	41707
404	28329	41620
405	28399	41550
406	28490	41510
407	28556	41434
408	28684	41448
409	28896	41582
410	28979	41529
411	29063	41479
412	29149	41431
413	29252	41405
414	29338	41357
415	29423	41306
416	29500	41244
417	29565	41164
418	29618	41069
419	29691	41001
420	29749	40914
421	29808	40827
422	29876	40753
423	29948	40685
424	30024	40621
425	30096	40552
426	30194	40518
427	30285	40475
428	30415	40483
429	30585	40544
430	30667	40487
431	30785	40476
432	30854	40403
433	31240	40741
434	31539	40965
435	31639	40928
436	31819	40994
437	31904	40937
438	31983	40872
439	32057	40800
440	32159	40764
441	32246	40709
442	32331	40652
443	32419	40596
444	32499	40532
445	32556	40440
446	32624	40361
447	32686	40274
448	32742	40181
449	32809	40100
450	32888	40035
451	32954	39953
452	33007	39857
453	33065	39765
454	33145	39701
455	33219	39630
456	33316	39586
457	33413	39541
458	33514	39501
459	33596	39439
460	33681	39380
461	33745	39296
462	33816	39220
463	33998	39274
464	34074	39204
465	34174	39161
466	34261	39103
467	34338	39034
468	34401	38949
469	34461	38861
470	34551	38806
471	34613	38720
472	34714	38677
473	34802	38620
474	34889	38561
475	34952	38476
476	35041	38420
477	35156	38392
478	35242	38332
479	35339	38284
480	35428	38227
481	35509	38161
482	35585	38090
483	35654	38012
484	35729	37940
485	35869	37936
486	35976	37897
487	36066	37839
488	36144	37770
489	36216	37694
490	36298	37628
491	36361	37543
492	36416	37450
493	36491	37378
494	36559	37297
495	36627	37218
496	36693	37136
497	36748	37043
498	36821	36968
499	36881	36881
500	36940	36792
501	37014	36719
502	37117	36674
503	37230	36639
504	37307	36568
505	37392	36505
506	37457	36422
507	37540	36358
508	37624	36294
509	37711	36233
510	37782	36156
511	37836	36062
512	37905	35984
513	37991	35921
514	38071	35853
515	38144	35779
516	38234	35720
517	38351	35686
518	38430	35616
519	38502	35541
520	38576	35466
521	38649	35392
522	38722	35316
523	38789	35236
524	38849	35149
525	38901	35055
526	38972	34978
527	39032	34892
528	39090	34804
529	39175	34740
530	39242	34660
531	39306	34577
532	39368	34493
533	39423	34403
534	39483	34317
535	39532	34222
536	39607	34149
537	39667	34064
538	39733	33983
539	39810	33912
540	39877	33833
541	39950	33758
542	40010	33673
543	40068	33587
544	40125	33499
545	40206	33431
546	40272	33351
547	40343	33276
548	40418	33203
549	40487	33126
550	40559	33051
551	40624	32970
552	40695	32894
553	40742	32799
554	40814	32724
555	40865	32633
556	40924	32548
557	40986	32465
558	41048	32383
559	41103	32295
560	41171	32218
561	41237	32139
562	41312	32066
563	41381	31989
564	41433	31900
565	41489	31813
566	41549	31729
567	41614	31650
568	41677	31569
569	41738	31486
570	41809	31412
571	41870	31330
572	41923	31241
573	41982	31157
574	42036	31070
575	42101	30991
576	42167	30913
577	42218	30823
578	42279	30742
579	42348	30666
580	42418	30590
581	42485	30513
582	42541	30428
583	42606	30349
584	42657	30261
585	42705	30170
586	42771	30093
587	42832	30011
588	42885	29925
589	42952	29848
590	43012	29766
591	43080	29690
592	43170	29629
593	43237	29552
594	43307	29478
595	43372	29400
596	43434	29320
597	43496	29240
598	43553	29156
599	43629	29086
600	43693	29008
601	43801	28958
602	43899	28902
603	43972	28829
604	44032	28748
605	44108	28677
606	44179	28604
607	44264	28538
608	44385	28496
609	44480	28438
610	44602	28396
611	44764	28380
612	44862	28322
613	44951	28259
614	45026	28187
615	45090	28108
616	45151	28027
617	45251	27971
